"","V1","V2","V3","V4","Decyzja"
"618","4 ","1","250","4 ","0"
"619","4 ","1","250","4 ","0"
"620","4 ","1","250","4 ","1"
"621","4 ","1","250","4 ","0"
"622","4 ","7","1750","62 ","0"
"623","4 ","1","250","4 ","0"
"624","4 ","4","1000","34 ","1"
"625","11 ","6","1500","28 ","0"
"626","13 ","3","750","14 ","1"
"627","7 ","5","1250","35 ","0"
"628","9 ","9","2250","54 ","0"
"629","11 ","2","500","11 ","0"
"630","2 ","5","1250","63 ","0"
"631","7 ","11","2750","89 ","0"
"632","8 ","9","2250","64 ","0"
"633","2 ","2","500","22 ","0"
"634","6 ","3","750","26 ","0"
"635","12 ","15","3750","71 ","0"
"636","13 ","3","750","16 ","0"
"637","11 ","16","4000","89 ","0"
"638","4 ","5","1250","58 ","0"
"639","14 ","7","1750","35 ","0"
"640","11 ","4","1000","27 ","0"
"641","7 ","9","2250","89 ","1"
"642","11 ","8","2000","52 ","1"
"643","7 ","5","1250","52 ","0"
"644","11 ","6","1500","41 ","0"
"645","10 ","5","1250","38 ","0"
"646","14 ","2","500","14 ","1"
"647","14 ","2","500","14 ","0"
"648","14 ","2","500","14 ","0"
"649","2 ","2","500","33 ","0"
"650","11 ","3","750","23 ","0"
"651","14 ","8","2000","46 ","0"
"652","9 ","1","250","9 ","0"
"653","16 ","5","1250","27 ","0"
"654","14 ","4","1000","26 ","0"
"655","4 ","2","500","30 ","0"
"656","14 ","3","750","21 ","0"
"657","16 ","16","4000","77 ","0"
"658","4 ","2","500","31 ","0"
"659","14 ","8","2000","50 ","0"
"660","11 ","3","750","26 ","0"
"661","14 ","7","1750","45 ","0"
"662","15 ","5","1250","33 ","0"
"663","16 ","2","500","16 ","0"
"664","16 ","3","750","21 ","0"
"665","11 ","8","2000","72 ","0"
"666","11 ","1","250","11 ","0"
"667","11 ","1","250","11 ","0"
"668","11 ","1","250","11 ","0"
"669","11 ","1","250","11 ","1"
"670","11 ","1","250","11 ","0"
"671","2 ","3","750","75 ","1"
"672","2 ","3","750","77 ","0"
"673","16 ","4","1000","28 ","0"
"674","16 ","15","3750","87 ","0"
"675","16 ","14","3500","83 ","0"
"676","16 ","10","2500","62 ","0"
"677","16 ","3","750","23 ","0"
"678","14 ","3","750","26 ","0"
"679","23 ","19","4750","62 ","0"
"680","11 ","7","1750","75 ","0"
"681","14 ","3","750","28 ","0"
"682","20 ","14","3500","69 ","1"
"683","4 ","2","500","46 ","0"
"684","11 ","2","500","25 ","0"
"685","11 ","3","750","37 ","0"
"686","16 ","4","1000","33 ","0"
"687","21 ","7","1750","38 ","0"
"688","13 ","7","1750","76 ","0"
"689","16 ","6","1500","50 ","0"
"690","14 ","3","750","33 ","0"
"691","14 ","1","250","14 ","0"
"692","14 ","1","250","14 ","0"
"693","14 ","1","250","14 ","0"
"694","14 ","1","250","14 ","0"
"695","14 ","1","250","14 ","0"
"696","14 ","1","250","14 ","0"
"697","17 ","7","1750","58 ","1"
"698","14 ","3","750","35 ","0"
"699","14 ","3","750","35 ","0"
"700","16 ","7","1750","64 ","0"
"701","21 ","2","500","21 ","0"
"702","16 ","3","750","35 ","0"
"703","16 ","1","250","16 ","0"
"704","16 ","1","250","16 ","0"
"705","16 ","1","250","16 ","0"
"706","16 ","1","250","16 ","0"
"707","16 ","1","250","16 ","0"
"708","14 ","2","500","29 ","0"
"709","11 ","4","1000","74 ","0"
"710","11 ","2","500","38 ","1"
"711","21 ","6","1500","48 ","0"
"712","23 ","2","500","23 ","0"
"713","23 ","6","1500","45 ","0"
"714","14 ","2","500","35 ","1"
"715","16 ","6","1500","81 ","0"
"716","16 ","4","1000","58 ","0"
"717","16 ","5","1250","71 ","0"
"718","21 ","2","500","26 ","0"
"719","21 ","3","750","35 ","0"
"720","21 ","3","750","35 ","0"
"721","23 ","8","2000","69 ","0"
"722","21 ","3","750","38 ","0"
"723","23 ","3","750","35 ","0"
"724","21 ","3","750","40 ","0"
"725","23 ","2","500","28 ","0"
"726","21 ","1","250","21 ","0"
"727","21 ","1","250","21 ","0"
"728","25 ","6","1500","50 ","0"
"729","21 ","1","250","21 ","0"
"730","21 ","1","250","21 ","0"
"731","23 ","3","750","39 ","0"
"732","21 ","2","500","33 ","0"
"733","14 ","3","750","79 ","0"
"734","23 ","1","250","23 ","1"
"735","23 ","1","250","23 ","0"
"736","23 ","1","250","23 ","0"
"737","23 ","1","250","23 ","0"
"738","23 ","1","250","23 ","0"
"739","23 ","1","250","23 ","0"
"740","23 ","1","250","23 ","0"
"741","23 ","4","1000","52 ","0"
"742","23 ","1","250","23 ","0"
"743","23 ","7","1750","88 ","0"
"744","16 ","3","750","86 ","0"
"745","23 ","2","500","38 ","0"
"746","21 ","2","500","52 ","0"
"747","23 ","3","750","62 ","0"
"748","39 ","1","250","39 ","0"
"749","72 ","1","250","72 ","0"
